head_idx,layer,head_in_layer,causal_score,score_std,score_sem,time_seconds,peak_memory_gb
0,0,0,0.00288434443064034,0.003585217287763953,0.0005070262704975903,1.979510399999981,0.413668864
1,0,1,0.0016456528101116419,0.0016283701406791806,0.00023028631403576583,1.8534432000000152,0.413668864
2,0,2,0.00998078566044569,0.019921086728572845,0.0028172670863568783,1.7460893999999598,0.413668864
3,0,3,0.10919465869665146,0.1049719750881195,0.014845279045403004,1.7819151999999576,0.413668864
4,0,4,0.0023219669237732887,0.002802520990371704,0.00039633631240576506,1.802142700000104,0.413668864
5,0,5,0.0,0.0,0.0,1.727256900000043,0.413668864
6,0,6,0.0023574752267450094,0.002721803728491068,0.0003849211789201945,1.628705699999955,0.413668864
7,0,7,0.0,0.0,0.0,1.585825399999976,0.413668864
8,0,8,0.002073955023661256,0.0021775413770228624,0.00030795086058788,1.6466742999999724,0.413668864
9,0,9,0.04758359491825104,0.06295763701200485,0.008903554640710354,1.6075925000000097,0.413668864
10,0,10,0.010629896074533463,0.028303956612944603,0.004002783913165331,1.6469563000000562,0.413668864
11,0,11,0.002912127412855625,0.003210102440789342,0.0004539770307019353,1.7441076999999723,0.413668864
12,1,0,0.09574201703071594,0.07426246255636215,0.01050229836255312,1.8113869999999679,0.413607424
13,1,1,0.007023966871201992,0.007230674847960472,0.0010225718142464757,1.7805597000000262,0.413607424
14,1,2,0.005754762329161167,0.005283258855342865,0.0007471656426787376,1.9743885999999975,0.413607424
15,1,3,0.05862918496131897,0.04487483575940132,0.006346260197460651,2.0268671999999697,0.413607424
16,1,4,0.00979729276150465,0.01267800759524107,0.0017929410096257925,2.06615469999997,0.413607424
17,1,5,0.01810859516263008,0.014065549708902836,0.0019891690462827682,1.739789700000074,0.413607424
18,1,6,0.0021217765752226114,0.002123755170032382,0.000300344341667369,1.6945928000000094,0.413607424
19,1,7,0.009457981213927269,0.012832798063755035,0.0018148317467421293,1.6957331999999496,0.413607424
20,1,8,0.027627456933259964,0.022969787940382957,0.0032484184484928846,1.6941145999999208,0.413607424
21,1,9,0.003884649369865656,0.004275179002434015,0.000604601635131985,1.7243508000000247,0.413607424
22,1,10,0.009821481071412563,0.01081585232168436,0.0015295925550162792,1.7056344999999737,0.413607424
23,1,11,0.008100548759102821,0.008098415099084377,0.0011452888138592243,1.6766172999999753,0.413607424
24,2,0,0.052523158490657806,0.04904598742723465,0.006936150137335062,1.42185029999996,0.413668864
25,2,1,0.06297238171100616,0.047291435301303864,0.006688018795102835,1.5929197000000386,0.413668864
26,2,2,0.020740395411849022,0.022447004914283752,0.003174485871568322,1.6028776000000562,0.413668864
27,2,3,0.03595319017767906,0.02745102345943451,0.0038821608759462833,1.6364631999999801,0.413668864
28,2,4,0.0590880922973156,0.05399646982550621,0.00763625418767333,1.7450271000000157,0.413668864
29,2,5,0.01407410018146038,0.013090269640088081,0.0018512436654418707,1.8446358999999575,0.413668864
30,2,6,0.025986600667238235,0.025432612746953964,0.003596714697778225,1.9564411000000064,0.413668864
31,2,7,0.04022951051592827,0.03628881648182869,0.005132013466209173,1.4933731999999509,0.413668864
32,2,8,0.024010872468352318,0.021352747455239296,0.0030197345186024904,1.515052800000035,0.413668864
33,2,9,0.01432727463543415,0.015357083640992641,0.0021718195639550686,0.9659012000000757,0.413668864
34,2,10,0.011537780985236168,0.010467044077813625,0.0014802635414525867,0.865033399999902,0.413668864
35,2,11,0.02594975009560585,0.022883063182234764,0.0032361538615077734,0.8603255000000445,0.413668864
36,3,0,0.018480781465768814,0.015469523146748543,0.0021877209655940533,0.8607042999999521,0.413607424
37,3,1,0.008938496932387352,0.008489958010613918,0.0012006614124402404,0.8421729000000369,0.413607424
38,3,2,0.06760869175195694,0.06499174237251282,0.009191220626235008,0.8526841999999988,0.413607424
39,3,3,0.018051154911518097,0.017962241545319557,0.0025402444880455732,0.8577751000000262,0.413607424
40,3,4,0.016758622601628304,0.012205763719975948,0.0017261556349694729,0.8669047000000774,0.413607424
41,3,5,0.04244837164878845,0.03964995592832565,0.00560735072940588,0.8601576999999452,0.413607424
42,3,6,0.040684718638658524,0.03365923464298248,0.004760134499520063,0.8561886999999615,0.413607424
43,3,7,0.040891941636800766,0.039206478744745255,0.005544633604586124,0.8739956000000575,0.413607424
44,3,8,0.012811075896024704,0.010220232419669628,0.0014453590847551823,0.8609500000000025,0.413607424
45,3,9,0.04404730722308159,0.04044602811336517,0.00571993226185441,0.8798149000000421,0.413607424
46,3,10,0.012419232167303562,0.013704381883144379,0.001938092289492488,0.8677827999999863,0.413607424
47,3,11,0.025478847324848175,0.025910573080182076,0.003664308460429311,0.889556700000071,0.413607424
48,4,0,0.027247490361332893,0.02396852895617485,0.0033896618988364935,0.8944639000000052,0.413668864
49,4,1,0.027461638674139977,0.024002641439437866,0.0033944861497730017,0.8734660000000076,0.413668864
50,4,2,0.037552863359451294,0.032864123582839966,0.004647688940167427,0.8753937000000178,0.413668864
51,4,3,0.02434966154396534,0.0234751645475626,0.0033198895398527384,0.8817898999999443,0.413668864
52,4,4,0.03629361465573311,0.03340167552232742,0.004723710473626852,0.8775642000000516,0.413668864
53,4,5,0.030114011839032173,0.03025124780833721,0.004278172273188829,0.8772114000000784,0.413668864
54,4,6,0.022014210000634193,0.01769677735865116,0.0025027021765708923,0.8995105000000194,0.413668864
55,4,7,0.04074092209339142,0.032223351299762726,0.004557069856673479,1.084857599999964,0.413668864
56,4,8,0.011470108292996883,0.010718785226345062,0.0015158650930970907,1.6252696000000242,0.413668864
57,4,9,0.020127976313233376,0.01749805361032486,0.0024745985865592957,1.353077399999961,0.413668864
58,4,10,0.016161754727363586,0.01358146220445633,0.0019207088043913245,1.4065300999999408,0.413668864
59,4,11,0.045789435505867004,0.03552531078457832,0.005024037789553404,1.5251418999999942,0.413668864
60,5,0,0.04540424048900604,0.035005077719688416,0.004950465634465218,1.5333802000000105,0.413607424
61,5,1,0.05025885999202728,0.04929128661751747,0.006970840506255627,1.5264476000000968,0.413607424
62,5,2,0.02429978922009468,0.019356131553649902,0.0027373703196644783,1.6591264999999566,0.413607424
63,5,3,0.018694844096899033,0.017942480742931366,0.0025374500546604395,1.634148200000027,0.413607424
64,5,4,0.032808300107717514,0.030733712017536163,0.004346403293311596,1.4459703999999647,0.413607424
65,5,5,0.022002894431352615,0.01846550963819027,0.0026114173233509064,1.5129826999999523,0.413607424
66,5,6,0.05054831877350807,0.06063152849674225,0.008574592880904675,1.462245199999984,0.413607424
67,5,7,0.024586820974946022,0.02295173890888691,0.003245866158977151,1.4833602000001065,0.413607424
68,5,8,0.02483651600778103,0.024942494928836823,0.0035274014808237553,1.4598962999999685,0.413607424
69,5,9,0.03134259581565857,0.03009035252034664,0.004255418665707111,1.6199099000000388,0.413607424
70,5,10,0.03386761620640755,0.029294190928339958,0.0041428240947425365,1.5990563000000293,0.413607424
71,5,11,0.0362001433968544,0.027817407622933388,0.003933975473046303,1.6274459999999635,0.413607424
72,6,0,0.06547439843416214,0.05180264264345169,0.007325999904423952,1.7335735999999997,0.413668864
73,6,1,0.026362549513578415,0.022815734148025513,0.0032266320195049047,1.5257513000000245,0.413668864
74,6,2,0.02936664968729019,0.027115095406770706,0.0038346536457538605,1.7511970000000474,0.413668864
75,6,3,0.02581033483147621,0.025464367121458054,0.003601205302402377,1.5351441999999906,0.413668864
76,6,4,0.0206399317830801,0.02043166570365429,0.0028894739225506783,1.6183416999999736,0.413668864
77,6,5,0.024368176236748695,0.023192554712295532,0.003279922530055046,1.5345146999999315,0.413668864
78,6,6,0.027952969074249268,0.029343686997890472,0.0041498239152133465,1.5185338000000002,0.413668864
79,6,7,0.02836534194648266,0.03065025806427002,0.004334601107984781,1.4732737000000498,0.413668864
80,6,8,0.03244265913963318,0.03742334991693497,0.005292460788041353,1.5788451000000805,0.413668864
81,6,9,0.03448668122291565,0.026003627106547356,0.003677468281239271,1.593266099999937,0.413668864
82,6,10,0.02443835325539112,0.02165169082581997,0.0030620114412158728,1.5615781999999854,0.413668864
83,6,11,0.023908911272883415,0.021709775552153587,0.003070225939154625,1.6262170999998489,0.413668864
84,7,0,0.03761688619852066,0.02961849980056286,0.004188688471913338,1.4438365000000886,0.413607424
85,7,1,0.026958782225847244,0.020560231059789658,0.002907655667513609,1.7294993000000431,0.413607424
86,7,2,0.026726383715867996,0.024502094835042953,0.003465119516476989,1.8224162999999862,0.413607424
87,7,3,0.022098436951637268,0.019192392006516457,0.0027142141479998827,1.6445882000000438,0.413607424
88,7,4,0.029789796099066734,0.026843080297112465,0.003796184901148081,1.7033060999999634,0.413607424
89,7,5,0.055083051323890686,0.05170974135398865,0.0073128617368638515,0.8824021000000357,0.413607424
90,7,6,0.026859235018491745,0.020624777302145958,0.0029167840257287025,0.873266699999931,0.413607424
91,7,7,0.026186298578977585,0.023130929097533226,0.003271207446232438,0.8945758000002115,0.413607424
92,7,8,0.028359245508909225,0.02775757387280464,0.003925513941794634,0.8824762000001556,0.413607424
93,7,9,0.021757081151008606,0.017563633620738983,0.0024838729295879602,0.8987589999999273,0.413607424
94,7,10,0.03527434170246124,0.03278540074825287,0.004636555910110474,0.9154089999999542,0.413607424
95,7,11,0.024748878553509712,0.024883948266506195,0.00351912179030478,0.916092300000173,0.413607424
96,8,0,0.03121749870479107,0.02185562625527382,0.0030908524058759212,0.8948760999999195,0.413668864
97,8,1,0.02461065724492073,0.01942107453942299,0.0027465547900646925,0.91728820000003,0.413668864
98,8,2,0.03782761096954346,0.03843766450881958,0.005435906816273928,1.3576227000000927,0.413668864
99,8,3,0.026046575978398323,0.02190728671848774,0.0030981581658124924,0.9173249000000396,0.413668864
100,8,4,0.023709723725914955,0.015095376409590244,0.002134808572009206,1.6974831999998514,0.413668864
101,8,5,0.026501759886741638,0.0309154000133276,0.00437209801748395,1.3511019000000033,0.413668864
102,8,6,0.02682177722454071,0.02581576444208622,0.0036509004421532154,1.4185382999999092,0.413668864
103,8,7,0.024309515953063965,0.02392512746155262,0.00338352401740849,1.297345999999834,0.413668864
104,8,8,0.0325700119137764,0.025965915992856026,0.0036721350625157356,1.4970593999998982,0.413668864
105,8,9,0.02860846556723118,0.02390560321509838,0.003380762878805399,1.276044899999988,0.413668864
106,8,10,0.017278825864195824,0.013416596688330173,0.0018973932601511478,1.2429065999999693,0.413668864
107,8,11,0.03774898499250412,0.03405462205410004,0.004816050641238689,1.3061771000000135,0.413668864
108,9,0,0.040328074246644974,0.030240288004279137,0.004276622552424669,1.501468500000101,0.413607424
109,9,1,0.04235166683793068,0.042599961161613464,0.0060245441272854805,1.5258751999999731,0.413607424
110,9,2,0.03160644695162773,0.024545328691601753,0.0034712336491793394,1.7622544999999263,0.413607424
111,9,3,0.023815762251615524,0.020572097972035408,0.002909333910793066,1.7345617999999376,0.413607424
112,9,4,0.031487807631492615,0.023382067680358887,0.003306723665446043,1.8117288999999346,0.413607424
113,9,5,0.02186594158411026,0.017196983098983765,0.002432020613923669,1.693987800000059,0.413607424
114,9,6,0.022700395435094833,0.02165408246219158,0.003062349744141102,1.5250716000000466,0.413607424
115,9,7,0.01692258194088936,0.02025558240711689,0.002864571986719966,1.6278840999998465,0.413607424
116,9,8,0.022420814260840416,0.016973275691270828,0.002400383586063981,1.7975780000001578,0.413607424
117,9,9,0.03211730718612671,0.027603665366768837,0.003903747769072652,1.5914347000000362,0.413607424
118,9,10,0.029379157349467278,0.027887584641575813,0.003943900112062693,1.7787250999999742,0.413607424
119,9,11,0.03832007944583893,0.031720612198114395,0.004485972225666046,1.7758802000000742,0.413607424
120,10,0,0.03047412820160389,0.024734316393733025,0.0034979605115950108,1.8045524999999998,0.413668864
121,10,1,0.017907198518514633,0.014708472415804863,0.002080092206597328,1.8299489999999423,0.413668864
122,10,2,0.04029158502817154,0.03045828267931938,0.004307451657950878,1.9387526999998954,0.413668864
123,10,3,0.03696785494685173,0.030909322202205658,0.00437123840674758,1.6996767000000546,0.413668864
124,10,4,0.03204086795449257,0.03001410700380802,0.004244635812938213,1.8389885000001414,0.413668864
125,10,5,0.048952989280223846,0.037329792976379395,0.005279229953885078,1.892721599999959,0.413668864
126,10,6,0.03963980823755264,0.03157368674874306,0.0044651934877038,1.7760586000001695,0.413668864
127,10,7,0.051213327795267105,0.037935636937618256,0.005364909302443266,1.7901085999999395,0.413668864
128,10,8,0.03203510120511055,0.026945682242512703,0.00381069490686059,1.7231768000001466,0.413668864
129,10,9,0.03038809448480606,0.02405223809182644,0.0034015001729130745,1.6381204000001617,0.413668864
130,10,10,0.033696435391902924,0.026989419013261795,0.0038168802857398987,1.718139100000144,0.413668864
131,10,11,0.020979641005396843,0.019484642893075943,0.002755544614046812,1.7219210999999177,0.413668864
132,11,0,0.12455620616674423,0.12255746126174927,0.01733224280178547,1.8517695999998978,0.413607424
133,11,1,0.09203832596540451,0.08739261329174042,0.012359182350337505,1.674605100000008,0.413607424
134,11,2,0.08105804771184921,0.06383778899908066,0.009028026834130287,1.8738897000000634,0.413607424
135,11,3,0.06906339526176453,0.06923925131559372,0.009791908785700798,1.8849493000000166,0.413607424
136,11,4,0.07297322899103165,0.053083017468452454,0.0075070722959935665,1.9116581999999198,0.413607424
137,11,5,0.06278233230113983,0.06947401911020279,0.00982511043548584,1.7857703000001948,0.413607424
138,11,6,0.11898766458034515,0.11661683022975922,0.01649210974574089,1.758648600000015,0.413607424
139,11,7,0.08388161659240723,0.07036098837852478,0.0099505465477705,1.816225999999915,0.413607424
140,11,8,0.09341045469045639,0.11176202446222305,0.01580553688108921,2.04728050000017,0.413607424
141,11,9,0.09170518815517426,0.08715330064296722,0.012325338087975979,1.675601400000005,0.413607424
142,11,10,0.04979307949542999,0.04409167543053627,0.006235504522919655,1.5439613999999438,0.413607424
143,11,11,0.06898926943540573,0.06441168487071991,0.009109187871217728,1.5412218999999823,0.413607424
